epoch,val_loss,thr_mode,accuracy,f1_macro,auc_macro
1,0.0188,per-class,0.4346,0.0652,0.7044
2,0.0203,per-class,0.4036,0.0490,0.6797
3,0.0178,per-class,0.4231,0.0867,0.7595
4,0.0176,per-class,0.4486,0.0875,0.7696
5,0.0176,per-class,0.4470,0.0866,0.7712
6,0.0175,per-class,0.4353,0.0954,0.7788
7,0.0174,per-class,0.4344,0.0988,0.7859
8,0.0175,per-class,0.4466,0.0940,0.7911
9,0.0172,per-class,0.4217,0.0972,0.7973
10,0.0172,per-class,0.4318,0.1216,0.8040
11,0.0171,per-class,0.4413,0.1106,0.8044
12,0.0172,per-class,0.4305,0.1161,0.8064
13,0.0171,per-class,0.4362,0.1266,0.8109
14,0.0170,per-class,0.4273,0.1107,0.8109
15,0.0170,per-class,0.4361,0.1162,0.8109
16,0.0172,per-class,0.4674,0.1088,0.8011
17,0.0171,per-class,0.4429,0.1167,0.8025
18,0.0171,per-class,0.4450,0.1268,0.8060
19,0.0171,per-class,0.4501,0.1147,0.8071
20,0.0171,per-class,0.4306,0.1140,0.8095
21,0.0173,per-class,0.4356,0.1119,0.8084
22,0.0174,per-class,0.4361,0.1177,0.8088
23,0.0173,per-class,0.4313,0.1182,0.8086
24,0.0175,per-class,0.4487,0.1125,0.8116
25,0.0172,per-class,0.4317,0.1226,0.8057
26,0.0177,per-class,0.4499,0.1091,0.8070
27,0.0177,per-class,0.4463,0.1087,0.8012
28,0.0179,per-class,0.4484,0.1144,0.8044
29,0.0187,per-class,0.4352,0.1112,0.7984
30,0.0186,per-class,0.4432,0.1083,0.7998
31,0.0189,per-class,0.4342,0.1096,0.7936
32,0.0192,per-class,0.4433,0.1211,0.7943
33,0.0195,per-class,0.4305,0.1182,0.7928
34,0.0195,per-class,0.4384,0.1234,0.7913
35,0.0195,per-class,0.4370,0.1262,0.7918
36,0.0181,per-class,0.4480,0.1030,0.7961
37,0.0179,per-class,0.4095,0.1036,0.7951
38,0.0183,per-class,0.4285,0.1189,0.8015
39,0.0185,per-class,0.4324,0.1202,0.7964
40,0.0186,per-class,0.4475,0.1015,0.7860
41,0.0186,per-class,0.4261,0.1236,0.7894
42,0.0191,per-class,0.4498,0.1235,0.7809
43,0.0193,per-class,0.4296,0.1013,0.7848
44,0.0202,per-class,0.4390,0.1115,0.7851
45,0.0222,per-class,0.4170,0.1065,0.7789
46,0.0202,per-class,0.4474,0.1162,0.7797
47,0.0220,per-class,0.4151,0.0919,0.7691
48,0.0221,per-class,0.4076,0.1060,0.7723
49,0.0225,per-class,0.4394,0.0989,0.7720
1,0.0186,per-class,0.4178,0.0658,0.7127
2,0.0206,per-class,0.4360,0.0667,0.7090
3,0.0179,per-class,0.4192,0.0801,0.7570
4,0.0176,per-class,0.4308,0.0938,0.7678
5,0.0176,per-class,0.4383,0.0967,0.7706
6,0.0175,per-class,0.4257,0.1000,0.7765
7,0.0174,per-class,0.4566,0.0986,0.7892
8,0.0173,per-class,0.4426,0.1088,0.7893
9,0.0172,per-class,0.4469,0.1036,0.7987
10,0.0173,per-class,0.4517,0.1143,0.8016
11,0.0171,per-class,0.4520,0.1054,0.8045
12,0.0170,per-class,0.4342,0.1071,0.8080
13,0.0170,per-class,0.4491,0.1063,0.8115
14,0.0170,per-class,0.4394,0.1100,0.8115
15,0.0170,per-class,0.4409,0.1131,0.8118
16,0.0172,per-class,0.4435,0.1096,0.7961
17,0.0172,per-class,0.4457,0.0999,0.8062
18,0.0170,per-class,0.4367,0.1056,0.8074
19,0.0171,per-class,0.4474,0.1265,0.8105
20,0.0173,per-class,0.4589,0.1244,0.8127
21,0.0170,per-class,0.4433,0.1149,0.8083
22,0.0175,per-class,0.4517,0.1137,0.8124
23,0.0171,per-class,0.4357,0.1100,0.8148
24,0.0172,per-class,0.4507,0.1314,0.8110
25,0.0175,per-class,0.4608,0.1319,0.8082
26,0.0175,per-class,0.4365,0.1402,0.8092
27,0.0177,per-class,0.4492,0.1278,0.8071
28,0.0179,per-class,0.4555,0.1210,0.8065
29,0.0185,per-class,0.4558,0.1227,0.8010
30,0.0188,per-class,0.4251,0.1096,0.7987
31,0.0196,per-class,0.4448,0.1102,0.7948
32,0.0194,per-class,0.4419,0.1066,0.7934
33,0.0198,per-class,0.4419,0.1094,0.7918
34,0.0199,per-class,0.4400,0.1077,0.7910
35,0.0200,per-class,0.4493,0.1087,0.7912
36,0.0200,per-class,0.4455,0.1376,0.7958
37,0.0183,per-class,0.4357,0.1125,0.8018
38,0.0180,per-class,0.4459,0.1096,0.8000
39,0.0184,per-class,0.4459,0.1066,0.8006
40,0.0184,per-class,0.4522,0.0993,0.7944
41,0.0189,per-class,0.4443,0.1063,0.7906
42,0.0189,per-class,0.4229,0.1007,0.7913
43,0.0197,per-class,0.4410,0.1099,0.7866
44,0.0201,per-class,0.4411,0.0890,0.7764
45,0.0220,per-class,0.4276,0.1090,0.7768
46,0.0204,per-class,0.4217,0.1054,0.7781
47,0.0212,per-class,0.4451,0.0914,0.7772
48,0.0225,per-class,0.4280,0.0914,0.7715
49,0.0237,per-class,0.4167,0.0949,0.7658
49,0.0225,per-class,0.4300,0.0861,0.7617
50,0.0243,per-class,0.4202,0.0887,0.7663
1,0.0320,per-class,0.4120,0.0546,0.7184
2,0.0322,per-class,0.4267,0.0683,0.7409
3,0.0306,per-class,0.4381,0.0879,0.7703
4,0.0303,per-class,0.4394,0.0931,0.7768
5,0.0303,per-class,0.4420,0.0951,0.7781
6,0.0302,per-class,0.4383,0.0977,0.7820
7,0.0302,per-class,0.4418,0.1045,0.7882
8,0.0302,per-class,0.4361,0.0995,0.7938
9,0.0297,per-class,0.4363,0.1092,0.8025
10,0.0297,per-class,0.4572,0.1148,0.8031
11,0.0296,per-class,0.4321,0.1117,0.8028
12,0.0295,per-class,0.4535,0.1201,0.8070
13,0.0294,per-class,0.4447,0.1225,0.8082
14,0.0295,per-class,0.4381,0.1126,0.8073
15,0.0295,per-class,0.4567,0.1287,0.8074
16,0.0301,per-class,0.4403,0.1115,0.8048
17,0.0300,per-class,0.4477,0.1158,0.7997
18,0.0296,per-class,0.4432,0.1203,0.8042
